Year,State,County,Office,Party,Votes
2018,MN,Faribault County,US Senator,Republican,3103.0
2018,MN,Fillmore County,US Senator,Democratic,5128.0
2018,MN,Fillmore County,US Senator,Republican,4263.0
2018,MN,Freeborn County,US Senator,Democratic,7675.0
2018,MN,Freeborn County,US Senator,Republican,5779.0
2018,MN,Goodhue County,US Senator,Democratic,12379.0
2018,MN,Goodhue County,US Senator,Republican,9940.0
2018,MN,Houston County,US Senator,Democratic,4425.0
2018,MN,Houston County,US Senator,Republican,4149.0
2018,MN,Hubbard County,US Senator,Democratic,4494.0
2018,MN,Hubbard County,US Senator,Republican,5312.0
2018,MN,Isanti County,US Senator,Democratic,7440.0
2018,MN,Isanti County,US Senator,Republican,9226.0
2018,MN,Jackson County,US Senator,Democratic,2174.0
2018,MN,Jackson County,US Senator,Republican,2341.0
2018,MN,Kanabec County,US Senator,Democratic,3138.0
2018,MN,Kanabec County,US Senator,Republican,3363.0
2018,MN,Kandiyohi County,US Senator,Democratic,9378.0
2018,MN,Kandiyohi County,US Senator,Republican,8596.0
2018,MN,Koochiching County,US Senator,Democratic,2886.0
2018,MN,Koochiching County,US Senator,Republican,2238.0
2018,MN,Lac Qui Parle County,US Senator,Democratic,1866.0
2018,MN,Lac Qui Parle County,US Senator,Republican,1404.0
2018,MN,Lake County,US Senator,Democratic,3539.0
2018,MN,Lake County,US Senator,Republican,2196.0
2018,MN,Lake Of The Woods County,US Senator,Democratic,729.0
2018,MN,Lake Of The Woods County,US Senator,Republican,1072.0
2018,MN,Lincoln County,US Senator,Democratic,1164.0
2018,MN,Lincoln County,US Senator,Republican,1213.0
2018,MN,Mahnomen County,US Senator,Democratic,1098.0
2018,MN,Mahnomen County,US Senator,Republican,708.0
2018,MN,Martin County,US Senator,Democratic,3770.0
2018,MN,Martin County,US Senator,Republican,4664.0
2018,MN,Mcleod County,US Senator,Democratic,6825.0
2018,MN,Mcleod County,US Senator,Republican,7684.0
2018,MN,Meeker County,US Senator,Democratic,4677.0
2018,MN,Meeker County,US Senator,Republican,5363.0
2018,MN,Mille Lacs County,US Senator,Democratic,4771.0
2018,MN,Mille Lacs County,US Senator,Republican,5492.0
2018,MN,Morrison County,US Senator,Democratic,5246.0
2018,MN,Morrison County,US Senator,Republican,8678.0
2018,MN,Mower County,US Senator,Democratic,8396.0
2018,MN,Mower County,US Senator,Republican,5705.0
2018,MN,Murray County,US Senator,Democratic,1925.0
2018,MN,Murray County,US Senator,Republican,2070.0
2018,MN,Nicollet County,US Senator,Democratic,9632.0
2018,MN,Nicollet County,US Senator,Republican,5517.0
2018,MN,Nobles County,US Senator,Democratic,3185.0
2018,MN,Nobles County,US Senator,Republican,3523.0
2018,MN,Norman County,US Senator,Democratic,1588.0
2018,MN,Norman County,US Senator,Republican,1049.0
2018,MN,Otter Tail County,US Senator,Democratic,12002.0
2018,MN,Otter Tail County,US Senator,Republican,14688.0
2018,MN,Pennington County,US Senator,Democratic,2582.0
2018,MN,Pennington County,US Senator,Republican,2573.0
2018,MN,Pine County,US Senator,Democratic,5648.0
2018,MN,Pine County,US Senator,Republican,5528.0
2018,MN,Pope County,US Senator,Democratic,2851.0
2018,MN,Pope County,US Senator,Republican,2443.0
2018,MN,Ramsey County,US Senator,Democratic,182445.0
2018,MN,Ramsey County,US Senator,Republican,53101.0
2018,MN,Red Lake County,US Senator,Democratic,900.0
2018,MN,Red Lake County,US Senator,Republican,709.0
2018,MN,Renville County,US Senator,Democratic,3194.0
2018,MN,Renville County,US Senator,Republican,2888.0
2018,MN,Rice County,US Senator,Democratic,16881.0
2018,MN,Rice County,US Senator,Republican,10604.0
2018,MN,Rock County,US Senator,Democratic,1452.0
2018,MN,Rock County,US Senator,Republican,2217.0
2018,MN,Roseau County,US Senator,Democratic,2517.0
2018,MN,Roseau County,US Senator,Republican,3771.0
2018,MN,Saint Louis County,US Senator,Democratic,66056.0
2018,MN,Saint Louis County,US Senator,Republican,30293.0
2018,MN,Sibley County,US Senator,Democratic,3050.0
2018,MN,Sibley County,US Senator,Republican,3337.0
2018,MN,Stearns County,US Senator,Democratic,31970.0
2018,MN,Stearns County,US Senator,Republican,31821.0
2018,MN,Steele County,US Senator,Democratic,8192.0
2018,MN,Steele County,US Senator,Republican,7490.0
2018,MN,Stevens County,US Senator,Democratic,2290.0
2018,MN,Stevens County,US Senator,Republican,1969.0
2018,MN,Swift County,US Senator,Democratic,2147.0
2018,MN,Swift County,US Senator,Republican,1793.0
2018,MN,Traverse County,US Senator,Democratic,825.0
2018,MN,Traverse County,US Senator,Republican,665.0
2018,MN,Wabasha County,US Senator,Democratic,4961.0
2018,MN,Wabasha County,US Senator,Republican,4695.0
2018,MN,Wadena County,US Senator,Democratic,2044.0
2018,MN,Wadena County,US Senator,Republican,3379.0
2018,MN,Waseca County,US Senator,Democratic,4035.0
2018,MN,Waseca County,US Senator,Republican,3872.0
2018,MN,Washington County,US Senator,Democratic,78364.0
2018,MN,Washington County,US Senator,Republican,47785.0
2018,MN,Watonwan County,US Senator,Democratic,2200.0
2018,MN,Watonwan County,US Senator,Republican,1819.0
2018,MN,Wilkin County,US Senator,Democratic,1251.0
2018,MN,Wilkin County,US Senator,Republican,1243.0
2018,MN,Wright County,US Senator,Democratic,26821.0
2018,MN,Wright County,US Senator,Republican,30572.0
2018,MT,Big Horn County,US Senator,Democratic,3027.0
2018,MT,Big Horn County,US Senator,Republican,1558.0
2018,MT,Blaine County,US Senator,Democratic,1961.0
2018,MT,Blaine County,US Senator,Republican,982.0
2018,MT,Broadwater County,US Senator,Democratic,1071.0
2018,MT,Broadwater County,US Senator,Republican,2086.0
2018,MT,Carbon County,US Senator,Democratic,2680.0
2018,MT,Carbon County,US Senator,Republican,3209.0
2018,MT,Carter County,US Senator,Democratic,128.0
2018,MT,Carter County,US Senator,Republican,602.0
2018,MT,Cascade County,US Senator,Democratic,17435.0
2018,MT,Cascade County,US Senator,Republican,15566.0
2018,MT,Custer County,US Senator,Democratic,1942.0
2018,MT,Custer County,US Senator,Republican,2762.0
2018,MT,Daniels County,US Senator,Democratic,281.0
2018,MT,Daniels County,US Senator,Republican,631.0
2018,MT,Dawson County,US Senator,Democratic,1233.0
2018,MT,Dawson County,US Senator,Republican,2700.0
2018,MT,Deer Lodge County,US Senator,Democratic,2892.0
2018,MT,Deer Lodge County,US Senator,Republican,1208.0
2018,MT,Fallon County,US Senator,Democratic,281.0
2018,MT,Fallon County,US Senator,Republican,951.0
2018,MT,Fergus County,US Senator,Democratic,1964.0
2018,MT,Fergus County,US Senator,Republican,3640.0
2018,MT,Flathead County,US Senator,Democratic,19652.0
2018,MT,Flathead County,US Senator,Republican,26759.0
2018,MT,Gallatin County,US Senator,Democratic,33251.0
2018,MT,Gallatin County,US Senator,Republican,21248.0
2018,MT,Glacier County,US Senator,Democratic,3754.0
2018,MT,Glacier County,US Senator,Republican,1153.0
2018,MT,Golden Valley County,US Senator,Democratic,130.0
2018,MT,Golden Valley County,US Senator,Republican,303.0
2018,MT,Granite County,US Senator,Democratic,695.0
2018,MT,Granite County,US Senator,Republican,1046.0
2018,MT,Hill County,US Senator,Democratic,3729.0
2018,MT,Hill County,US Senator,Republican,2434.0
2018,MT,Judith Basin County,US Senator,Democratic,388.0
2018,MT,Judith Basin County,US Senator,Republican,752.0
2018,MT,Liberty County,US Senator,Democratic,365.0
2018,MT,Liberty County,US Senator,Republican,586.0
2018,MT,Lincoln County,US Senator,Democratic,2902.0
2018,MT,Lincoln County,US Senator,Republican,6137.0
2018,MT,McCone County,US Senator,Democratic,227.0
2018,MT,McCone County,US Senator,Republican,773.0
2018,MT,Meagher County,US Senator,Democratic,319.0
2018,MT,Meagher County,US Senator,Republican,629.0
2018,MT,Mineral County,US Senator,Democratic,785.0
2018,MT,Mineral County,US Senator,Republican,1181.0
2018,MT,Musselshell County,US Senator,Democratic,573.0
2018,MT,Musselshell County,US Senator,Republican,1743.0
2018,MT,Park County,US Senator,Democratic,5114.0
2018,MT,Park County,US Senator,Republican,4357.0
2018,MT,Phillips County,US Senator,Democratic,577.0
2018,MT,Phillips County,US Senator,Republican,1426.0
2018,MT,Pondera County,US Senator,Democratic,1176.0
2018,MT,Pondera County,US Senator,Republican,1413.0
2018,MT,Powder River County,US Senator,Democratic,203.0
2018,MT,Powder River County,US Senator,Republican,748.0
2018,MT,Powell County,US Senator,Democratic,1026.0
2018,MT,Powell County,US Senator,Republican,1641.0
2018,MT,Prairie County,US Senator,Democratic,177.0
2018,MT,Prairie County,US Senator,Republican,450.0
2018,MT,Ravalli County,US Senator,Democratic,9156.0
2018,MT,Ravalli County,US Senator,Republican,13622.0
2018,MT,Roosevelt County,US Senator,Democratic,2013.0
2018,MT,Roosevelt County,US Senator,Republican,1346.0
2018,MT,Rosebud County,US Senator,Democratic,1511.0
2018,MT,Rosebud County,US Senator,Republican,1765.0
2018,MT,Sanders County,US Senator,Democratic,2071.0
2018,MT,Sanders County,US Senator,Republican,3856.0
2018,MT,Sheridan County,US Senator,Democratic,712.0
2018,MT,Sheridan County,US Senator,Republican,1017.0
2018,MT,Silver Bow County,US Senator,Democratic,11672.0
2018,MT,Silver Bow County,US Senator,Republican,4246.0
2018,MT,Stillwater County,US Senator,Democratic,1501.0
2018,MT,Stillwater County,US Senator,Republican,3206.0
2018,MT,Sweet Grass County,US Senator,Democratic,652.0
2018,MT,Sweet Grass County,US Senator,Republican,1372.0
2018,MT,Teton County,US Senator,Democratic,1290.0
2018,MT,Teton County,US Senator,Republican,1784.0
2018,MT,Valley County,US Senator,Democratic,1545.0
2018,MT,Valley County,US Senator,Republican,2137.0
2018,MT,Wheatland County,US Senator,Democratic,315.0
2018,MT,Wheatland County,US Senator,Republican,586.0
2018,MT,Wibaux County,US Senator,Democratic,140.0
2018,MT,Wibaux County,US Senator,Republican,390.0
2018,NE,Adams County,US Senator,Republican,6487.0
2018,NE,Adams County,US Senator,Democratic,3334.0
2018,NE,Antelope County,US Senator,Republican,2061.0
2018,NE,Antelope County,US Senator,Democratic,396.0
2018,NE,Arthur County,US Senator,Republican,202.0
2018,NE,Arthur County,US Senator,Democratic,24.0
2018,NE,Banner County,US Senator,Republican,263.0
2018,NE,Banner County,US Senator,Democratic,39.0
2018,NE,Boone County,US Senator,Republican,1757.0
2018,NE,Boone County,US Senator,Democratic,457.0
2018,NE,Burt County,US Senator,Republican,1995.0
2018,NE,Burt County,US Senator,Democratic,836.0
2018,NE,Butler County,US Senator,Republican,2470.0
2018,NE,Butler County,US Senator,Democratic,871.0
2018,NE,Cedar County,US Senator,Republican,2866.0
2018,NE,Cedar County,US Senator,Democratic,537.0
2018,NE,Chase County,US Senator,Republican,1340.0
2018,NE,Chase County,US Senator,Democratic,184.0
2018,NE,Cheyenne County,US Senator,Republican,2566.0
2018,NE,Cheyenne County,US Senator,Democratic,579.0
2018,NE,Clay County,US Senator,Republican,1979.0
2018,NE,Clay County,US Senator,Democratic,592.0
2018,NE,Cuming County,US Senator,Republican,2672.0
2018,NE,Cuming County,US Senator,Democratic,604.0
2018,NE,Custer County,US Senator,Republican,3797.0
2018,NE,Custer County,US Senator,Democratic,687.0
2018,NE,Dakota County,US Senator,Republican,2677.0
2018,NE,Dakota County,US Senator,Democratic,1691.0
2018,NE,Dawes County,US Senator,Republican,2334.0
2018,NE,Dawes County,US Senator,Democratic,914.0
2018,NE,Dawson County,US Senator,Republican,4363.0
2018,NE,Dawson County,US Senator,Democratic,1657.0
2018,NE,Dixon County,US Senator,Republican,1655.0
2018,NE,Dixon County,US Senator,Democratic,488.0
2018,NE,Dodge County,US Senator,Republican,7827.0
2018,NE,Dodge County,US Senator,Democratic,3824.0
2018,NE,Douglas County,US Senator,Republican,94777.0
2018,NE,Douglas County,US Senator,Democratic,103070.0
2018,NE,Fillmore County,US Senator,Republican,1718.0
2018,NE,Fillmore County,US Senator,Democratic,690.0
2018,NE,Frontier County,US Senator,Republican,831.0
2018,NE,Frontier County,US Senator,Democratic,173.0
2018,NE,Furnas County,US Senator,Republican,1719.0
2018,NE,Furnas County,US Senator,Democratic,334.0
2018,NE,Gage County,US Senator,Republican,4896.0
2018,NE,Gage County,US Senator,Democratic,3024.0
2018,NE,Garfield County,US Senator,Republican,667.0
2018,NE,Garfield County,US Senator,Democratic,113.0
2018,NE,Gosper County,US Senator,Republican,667.0
2018,NE,Gosper County,US Senator,Democratic,147.0
2018,NE,Grant County,US Senator,Republican,282.0
2018,NE,Grant County,US Senator,Democratic,14.0
2018,NE,Hall County,US Senator,Republican,10483.0
2018,NE,Hall County,US Senator,Democratic,5624.0
2018,NE,Hamilton County,US Senator,Republican,3076.0
2018,NE,Hamilton County,US Senator,Democratic,896.0
2018,NE,Harlan County,US Senator,Republican,1149.0
2018,NE,Harlan County,US Senator,Democratic,287.0
2018,NE,Hitchcock County,US Senator,Republican,890.0
2018,NE,Hitchcock County,US Senator,Democratic,154.0
2018,NE,Hooker County,US Senator,Republican,258.0
2018,NE,Hooker County,US Senator,Democratic,49.0
2018,NE,Jefferson County,US Senator,Republican,1913.0
2018,NE,Jefferson County,US Senator,Democratic,924.0
2018,NE,Keith County,US Senator,Republican,2542.0
2018,NE,Keith County,US Senator,Democratic,567.0
2018,NE,Kimball County,US Senator,Republican,1122.0
2018,NE,Kimball County,US Senator,Democratic,202.0
2018,NE,Knox County,US Senator,Republican,2812.0
2018,NE,Knox County,US Senator,Democratic,669.0
2018,NE,Lancaster County,US Senator,Republican,
2018,NE,Lancaster County,US Senator,Democratic,
2018,NE,Lincoln County,US Senator,Republican,8999.0
2018,NE,Lincoln County,US Senator,Democratic,2886.0
2018,NE,Logan County,US Senator,Republican,306.0
2018,NE,Logan County,US Senator,Democratic,23.0
2018,NE,Loup County,US Senator,Republican,247.0
2018,NE,Loup County,US Senator,Democratic,51.0
2018,NE,Madison County,US Senator,Republican,7949.0
2018,NE,Madison County,US Senator,Democratic,2236.0
2018,NE,McPherson County,US Senator,Republican,228.0
2018,NE,McPherson County,US Senator,Democratic,22.0
2018,NE,Merrick County,US Senator,Republican,2563.0
2018,NE,Merrick County,US Senator,Democratic,647.0
2018,NE,Morrill County,US Senator,Republican,1699.0
2018,NE,Morrill County,US Senator,Democratic,308.0
2018,NE,Nance County,US Senator,Republican,885.0
2018,NE,Nance County,US Senator,Democratic,315.0
2018,NE,Nemaha County,US Senator,Republican,1788.0
2018,NE,Nemaha County,US Senator,Democratic,727.0
2018,NE,Nuckolls County,US Senator,Republican,1321.0
2018,NE,Nuckolls County,US Senator,Democratic,365.0
2018,NE,Otoe County,US Senator,Republican,4098.0
2018,NE,Otoe County,US Senator,Democratic,1977.0
2018,NE,Pawnee County,US Senator,Republican,774.0
2018,NE,Pawnee County,US Senator,Democratic,332.0
2018,NE,Perkins County,US Senator,Republican,1011.0
2018,NE,Perkins County,US Senator,Democratic,180.0
2018,NE,Phelps County,US Senator,Republican,3068.0
2018,NE,Phelps County,US Senator,Democratic,671.0
2018,NE,Pierce County,US Senator,Republican,2339.0
2018,NE,Pierce County,US Senator,Democratic,341.0
2018,NE,Platte County,US Senator,Republican,8372.0
2018,NE,Platte County,US Senator,Democratic,2343.0
2018,NE,Polk County,US Senator,Republican,1574.0
2018,NE,Polk County,US Senator,Democratic,448.0
2018,NE,Red Willow County,US Senator,Republican,3051.0
2018,NE,Red Willow County,US Senator,Democratic,696.0
2018,NE,Richardson County,US Senator,Republican,2137.0
2018,NE,Richardson County,US Senator,Democratic,858.0
2018,NE,Rock County,US Senator,Republican,569.0
2018,NE,Rock County,US Senator,Democratic,79.0
2018,NE,Sarpy County,US Senator,Republican,39306.0
2018,NE,Sarpy County,US Senator,Democratic,25706.0
2018,NE,Saunders County,US Senator,Republican,6479.0
2018,NE,Saunders County,US Senator,Democratic,2664.0
2018,NE,Scotts Bluff County,US Senator,Republican,7398.0
2018,NE,Scotts Bluff County,US Senator,Democratic,2887.0
2018,NE,Sheridan County,US Senator,Republican,1670.0
2018,NE,Sheridan County,US Senator,Democratic,275.0
2018,NE,Thayer County,US Senator,Republican,1606.0
2018,NE,Thayer County,US Senator,Democratic,539.0
2018,NE,Thomas County,US Senator,Republican,291.0
2018,NE,Thomas County,US Senator,Democratic,36.0
2018,NE,Valley County,US Senator,Republican,1388.0
2018,NE,Valley County,US Senator,Democratic,359.0
2018,NE,Washington County,US Senator,Republican,6462.0
2018,NE,Washington County,US Senator,Democratic,2438.0
2018,NE,Webster County,US Senator,Republican,997.0
2018,NE,Webster County,US Senator,Democratic,318.0
2018,NE,Wheeler County,US Senator,Republican,343.0
2018,NE,Wheeler County,US Senator,Democratic,60.0
2018,NE,York County,US Senator,Republican,3659.0
2018,NE,York County,US Senator,Democratic,1281.0
2018,NV,Carson City,US Senator,Republican,12328.0
2018,NV,Carson City,US Senator,Democratic,9321.0
2018,NV,Churchill County,US Senator,Republican,7042.0
2018,NV,Churchill County,US Senator,Democratic,1999.0
2018,NV,Clark County,US Senator,Republican,266675.0
2018,NV,Clark County,US Senator,Democratic,359028.0
2018,NV,Douglas County,US Senator,Republican,16742.0
2018,NV,Douglas County,US Senator,Democratic,8303.0
2018,NV,Elko County,US Senator,Republican,11491.0
2018,NV,Elko County,US Senator,Democratic,2904.0
2018,NV,Esmeralda County,US Senator,Republican,280.0
2018,NV,Esmeralda County,US Senator,Democratic,52.0
2018,NV,Lincoln County,US Senator,Republican,1547.0
2018,NV,Lincoln County,US Senator,Democratic,283.0
2018,NV,Lyon County,US Senator,Republican,14296.0
2018,NV,Lyon County,US Senator,Democratic,5526.0
2018,NV,Mineral County,US Senator,Republican,1056.0
2018,NV,Mineral County,US Senator,Democratic,570.0
2018,NV,Nye County,US Senator,Republican,11397.0
2018,NV,Nye County,US Senator,Democratic,4888.0
2018,NV,Storey County,US Senator,Republican,1495.0
2018,NV,Storey County,US Senator,Democratic,724.0
2018,NV,Washoe County,US Senator,Republican,86988.0
2018,NV,Washoe County,US Senator,Democratic,93828.0
2018,NV,White Pine County,US Senator,Republican,2351.0
2018,NV,White Pine County,US Senator,Democratic,635.0
2018,NJ,Camden County,US Senator,Republican,63279.0
2018,NJ,Camden County,US Senator,Democratic,113137.0
2018,NJ,Cumberland County,US Senator,Republican,19244.0
2018,NJ,Cumberland County,US Senator,Democratic,19386.0
2018,NJ,Hudson County,US Senator,Republican,36087.0
2018,NJ,Hudson County,US Senator,Democratic,132180.0
2018,NJ,Hunterdon County,US Senator,Republican,36116.0
2018,NJ,Hunterdon County,US Senator,Democratic,24823.0
2018,NJ,Middlesex County,US Senator,Republican,98764.0
2018,NJ,Middlesex County,US Senator,Democratic,148806.0
2018,NJ,Ocean County,US Senator,Republican,141902.0
2018,NJ,Ocean County,US Senator,Democratic,75597.0
2018,NJ,Passaic County,US Senator,Republican,58382.0
2018,NJ,Passaic County,US Senator,Democratic,86242.0
2018,NJ,Salem County,US Senator,Republican,13687.0
2018,NJ,Salem County,US Senator,Democratic,9060.0
2018,NJ,Somerset County,US Senator,Republican,61373.0
2018,NJ,Somerset County,US Senator,Democratic,70359.0
2018,NJ,Sussex County,US Senator,Republican,37720.0
2018,NJ,Sussex County,US Senator,Democratic,20229.0
2018,NJ,Warren County,US Senator,Republican,24357.0
2018,NJ,Warren County,US Senator,Democratic,14452.0
2018,NM,Catron County,US Senator,Democratic,550.0
2018,NM,Catron County,US Senator,Republican,1075.0
2018,NM,Chaves County,US Senator,Democratic,5279.0
2018,NM,Chaves County,US Senator,Republican,8727.0
2018,NM,Cibola County,US Senator,Democratic,3924.0
2018,NM,Cibola County,US Senator,Republican,1842.0
2018,NM,Curry County,US Senator,Democratic,2793.0
2018,NM,Curry County,US Senator,Republican,5896.0
2018,NM,De Baca County,US Senator,Democratic,267.0
2018,NM,De Baca County,US Senator,Republican,342.0
2018,NM,Dona Ana County,US Senator,Democratic,34651.0
2018,NM,Dona Ana County,US Senator,Republican,18101.0
2018,NM,Eddy County,US Senator,Democratic,4834.0
2018,NM,Eddy County,US Senator,Republican,8826.0
2018,NM,Guadalupe County,US Senator,Democratic,1094.0
2018,NM,Guadalupe County,US Senator,Republican,292.0
2018,NM,Harding County,US Senator,Democratic,198.0
2018,NM,Harding County,US Senator,Republican,199.0
2018,NM,Lea County,US Senator,Democratic,3331.0
2018,NM,Lea County,US Senator,Republican,8882.0
2018,NM,Luna County,US Senator,Democratic,3005.0
2018,NM,Luna County,US Senator,Republican,2313.0
2018,NM,McKinley County,US Senator,Democratic,12409.0
2018,NM,McKinley County,US Senator,Republican,2915.0
2018,NM,Mora County,US Senator,Democratic,1564.0
2018,NM,Mora County,US Senator,Republican,372.0
2018,NM,Otero County,US Senator,Democratic,6370.0
2018,NM,Otero County,US Senator,Republican,8460.0
2018,NM,Quay County,US Senator,Democratic,1016.0
2018,NM,Quay County,US Senator,Republican,1534.0
2018,NM,Rio Arriba County,US Senator,Democratic,8773.0
2018,NM,Rio Arriba County,US Senator,Republican,1945.0
2018,NM,Roosevelt County,US Senator,Democratic,1277.0
2018,NM,Roosevelt County,US Senator,Republican,2606.0
2018,NM,San Miguel County,US Senator,Democratic,6609.0
2018,NM,San Miguel County,US Senator,Republican,1298.0
2018,NM,Santa Fe County,US Senator,Democratic,49994.0
2018,NM,Santa Fe County,US Senator,Republican,9546.0
2018,NM,Socorro County,US Senator,Democratic,3409.0
2018,NM,Socorro County,US Senator,Republican,1700.0
2018,NM,Union County,US Senator,Democratic,334.0
2018,NM,Union County,US Senator,Republican,878.0
2018,NY,Allegany County,US Senator,Republican,8305.0
2018,NY,Allegany County,US Senator,Democratic,4844.0
2018,NY,Broome County,US Senator,Republican,27656.0
2018,NY,Broome County,US Senator,Democratic,37053.0
2018,NY,Cattaraugus County,US Senator,Republican,11586.0
2018,NY,Cattaraugus County,US Senator,Democratic,9199.0
2018,NY,Cayuga County,US Senator,Republican,11318.0
2018,NY,Cayuga County,US Senator,Democratic,12339.0
2018,NY,Chemung County,US Senator,Republican,13508.0
2018,NY,Chemung County,US Senator,Democratic,13032.0
2018,NY,Chenango County,US Senator,Republican,8279.0
2018,NY,Chenango County,US Senator,Democratic,6453.0
2018,NY,Clinton County,US Senator,Republican,9184.0
2018,NY,Clinton County,US Senator,Democratic,14143.0
2018,NY,Columbia County,US Senator,Republican,9155.0
2018,NY,Columbia County,US Senator,Democratic,15963.0
2018,NY,Cortland County,US Senator,Republican,6244.0
2018,NY,Cortland County,US Senator,Democratic,8143.0
2018,NY,Delaware County,US Senator,Republican,8225.0
2018,NY,Delaware County,US Senator,Democratic,7016.0
2018,NY,Erie County,US Senator,Republican,101349.0
2018,NY,Erie County,US Senator,Democratic,187978.0
2018,NY,Essex County,US Senator,Republican,5178.0
2018,NY,Essex County,US Senator,Democratic,7472.0
2018,NY,Franklin County,US Senator,Republican,5170.0
2018,NY,Franklin County,US Senator,Democratic,7466.0
2018,NY,Fulton County,US Senator,Republican,8719.0
2018,NY,Fulton County,US Senator,Democratic,6235.0
2018,NY,Greene County,US Senator,Republican,8695.0
2018,NY,Greene County,US Senator,Democratic,7788.0
2018,NY,Hamilton County,US Senator,Republican,1487.0
2018,NY,Hamilton County,US Senator,Democratic,962.0
2018,NY,Herkimer County,US Senator,Republican,10533.0
2018,NY,Herkimer County,US Senator,Democratic,8308.0
2018,NY,Kings County,US Senator,Republican,77030.0
2018,NY,Kings County,US Senator,Democratic,499372.0
2018,NY,Livingston County,US Senator,Republican,10812.0
2018,NY,Livingston County,US Senator,Democratic,10096.0
2018,NY,Monroe County,US Senator,Republican,85819.0
2018,NY,Monroe County,US Senator,Democratic,160167.0
2018,NY,Montgomery County,US Senator,Republican,6886.0
2018,NY,Montgomery County,US Senator,Democratic,6240.0
2018,NY,Niagara County,US Senator,Republican,29701.0
2018,NY,Niagara County,US Senator,Democratic,31813.0
2018,NY,Oneida County,US Senator,Republican,33095.0
2018,NY,Oneida County,US Senator,Democratic,34684.0
2018,NY,Onondaga County,US Senator,Republican,55240.0
2018,NY,Onondaga County,US Senator,Democratic,98804.0
2018,NY,Ontario County,US Senator,Republican,17441.0
2018,NY,Ontario County,US Senator,Democratic,20980.0
2018,NY,Orange County,US Senator,Republican,45428.0
2018,NY,Orange County,US Senator,Democratic,58942.0
2018,NY,Oswego County,US Senator,Republican,17754.0
2018,NY,Oswego County,US Senator,Democratic,15528.0
2018,NY,Queens County,US Senator,Republican,80421.0
2018,NY,Queens County,US Senator,Democratic,379201.0
2018,NY,Richmond County,US Senator,Republican,59336.0
2018,NY,Richmond County,US Senator,Democratic,66388.0
2018,NY,Saratoga County,US Senator,Republican,36394.0
2018,NY,Saratoga County,US Senator,Democratic,47535.0
2018,NY,Schenectady County,US Senator,Republican,18171.0
2018,NY,Schenectady County,US Senator,Democratic,29286.0
2018,NY,Schoharie County,US Senator,Republican,5577.0
2018,NY,Schoharie County,US Senator,Democratic,4666.0
2018,NY,Schuyler County,US Senator,Republican,3407.0
2018,NY,Schuyler County,US Senator,Democratic,3029.0
2018,NY,St. Lawrence County,US Senator,Republican,12705.0
2018,NY,St. Lawrence County,US Senator,Democratic,16149.0
2018,NY,Steuben County,US Senator,Republican,17922.0
2018,NY,Steuben County,US Senator,Democratic,12422.0
2018,NY,Suffolk County,US Senator,Republican,210272.0
2018,NY,Suffolk County,US Senator,Democratic,269281.0
2018,NY,Sullivan County,US Senator,Republican,9960.0
2018,NY,Sullivan County,US Senator,Democratic,11544.0
2018,NY,Tioga County,US Senator,Republican,9283.0
2018,NY,Tioga County,US Senator,Democratic,7272.0
2018,NY,Tompkins County,US Senator,Republican,7300.0
2018,NY,Tompkins County,US Senator,Democratic,25143.0
2018,NY,Ulster County,US Senator,Republican,22952.0
2018,NY,Ulster County,US Senator,Democratic,43658.0
2018,NY,Warren County,US Senator,Republican,9796.0
2018,NY,Warren County,US Senator,Democratic,13073.0
2018,NY,Washington County,US Senator,Republican,8596.0
2018,NY,Washington County,US Senator,Democratic,9248.0
2018,NY,Wayne County,US Senator,Republican,14592.0
2018,NY,Wayne County,US Senator,Democratic,12374.0
2018,NY,Westchester County,US Senator,Republican,85222.0
2018,NY,Westchester County,US Senator,Democratic,221750.0
2018,NY,Wyoming County,US Senator,Republican,7553.0
2018,NY,Wyoming County,US Senator,Democratic,3766.0
2018,ND,Adams County,US Senator,Democratic,364.0
2018,ND,Adams County,US Senator,Republican,796.0
2018,ND,Barnes County,US Senator,Democratic,2517.0
2018,ND,Barnes County,US Senator,Republican,2507.0
2018,ND,Benson County,US Senator,Democratic,1427.0
2018,ND,Benson County,US Senator,Republican,828.0
2018,ND,Burleigh County,US Senator,Democratic,17357.0
2018,ND,Burleigh County,US Senator,Republican,28494.0
2018,ND,Cass County,US Senator,Democratic,44723.0
2018,ND,Cass County,US Senator,Republican,32217.0
2018,ND,Cavalier County,US Senator,Democratic,765.0
2018,ND,Cavalier County,US Senator,Republican,1181.0
2018,ND,Dickey County,US Senator,Democratic,911.0
2018,ND,Dickey County,US Senator,Republican,1253.0
2018,ND,Dunn County,US Senator,Democratic,525.0
2018,ND,Dunn County,US Senator,Republican,1499.0
2018,ND,Eddy County,US Senator,Democratic,555.0
2018,ND,Eddy County,US Senator,Republican,675.0
2018,ND,Emmons County,US Senator,Democratic,391.0
2018,ND,Emmons County,US Senator,Republican,1433.0
2018,ND,Foster County,US Senator,Democratic,588.0
2018,ND,Foster County,US Senator,Republican,1052.0
2018,ND,Golden Valley County,US Senator,Democratic,171.0
2018,ND,Golden Valley County,US Senator,Republican,704.0
2018,ND,Grand Forks County,US Senator,Democratic,14827.0
2018,ND,Grand Forks County,US Senator,Republican,12952.0
2018,ND,Grant County,US Senator,Democratic,337.0
2018,ND,Grant County,US Senator,Republican,925.0
2018,ND,Griggs County,US Senator,Democratic,534.0
2018,ND,Griggs County,US Senator,Republican,688.0
